-35:17:28|1|Countdown
-23:04:05|1|Press conference announcing crew change
-00:00:15|2|Pre-Launch
000:00:00|1|Launch
000:11:42|1|Earth Orbit
001:38:22|2|001:41:15 TV
002:44:18|1|Trans-Lunar Injection (TLI)
030:34:22|2|030:56:13 TV
030:57:42|2|031:02:36 TV
055:14:30|2|055:46:29 TV
055:55:20|1|An Explosion onboard disables the spacecraft
077:09:44|1|Slingshot around Moon
080:52:35|1|Returning to Earth
138:02:06|1|Service Module Jettison
141:28:33|1|LM Jettison
142:38:36|1|Re-entring Earth's Atmosphere
142:54:40|1|Recovering crew from spacecraft
