-35:17:28|||Counting down to launch
-04:49:59|P|PAO|This is Apollo Saturn Launch Control; T minus 3 hours, 49 minutes, 57 seconds and counting. We've received word now from the crew quarters that Colnel Tom Stafford of the astronaut office is in fact ... the prime crew right as scheduled .. 58 AM. From there the crew proceeded to the area where they will receive their brief physicals this morning. There, Dr. John Teegan and Dr. Alan Harder from the Manned Spacecraft Center, Launch Site Medial Operations Branch will give them their brief physicals. From the physical they will - where they are right now, they'll report down for their breakfast. It will be the traditional breakfast of steak and eggs. In the meantime, the launch crew has completed the liquid hydrogen loading, which completes cryogenic loading. From now on we will be in the replenish mode with both, liquid oxygen and liquid hydrogen being replenished down to the final minutes of the countdown. Just a few moments ago we had an updated weather briefing. The weather appears to be satisfactory for launch. The chances of rain seem to be diminishing at this time. There is a stationary front over the Florida / Georgia coast which is bringing in a considerable amount of cloud cover. We'll be expecting temperatures of about 80 degrees fahrenheit at launch time, winds 12 knots from the southeast, and clouds - several cloud layers; one layer from 3,500 to 5,000 feet, another scattered layer at 8 to 9,000, a broken layer at 14,000, and still another cloud cover at 20 to 25,000. These clouds are acceptable for launch. At T-minus 3 hours, 48 minutes, 13 seconds, this is Kennedy Launch Control.
-04:29:58|P|PAO|This is Apollo Saturn Launch Control; now T minus 3 hour, 30 minutes and holding. This is a planned, built-in hold built into the count at this time, scheduled to last for 1 hour. Going into our hold, the launch team here in the Launch Control Center actually is running a little bit ahead of schedule. Cryogenic loading has been completed and the close-out crew is now on their way out to the spacecraft to make it ready for the arrival of Commander, Jim Lovell, Command Module Pilot, Jack Swigart, and Lunar Module Pilot, Fred Haise. The three crewmen have just completed their physical examination - a brief physical examination, this morning back at the crew quarters. Dr. Teegan reported, "All three men were in real fine shape in this morning's exam. They're in top shape for the mission." Now T-minus 3 hours, 30 minutes and holding, this is Kennedy Launch Control.
-04:19:58|P|PAO|This is Apollo Saturn Launch Control; we're continuing in our hold at the T minus 3 hour and 30 minute mark. This is a planned hold at this time scheduled to last for 1 hour. The close-out crew has just recently arrived at the 320 foot level. They went across the swingarm to the white room area and have now opened the hatch of the Command Module, which has been named "Odyssey". The backup pilot, Vance Brand, has entered the spacecraft at this time. The close-out crew consists of 6 men. The pad leader, the backup pilot (Vance Brand), a NASA quality control man, two spacecraft technicians, and a suit technician - two suit technicians. The crew busily at work now preparing the Command Module to receive the crew when they're ready to come out. The crew sitting down for breakfast now, they're getting their traditional breakfast of steak and eggs. Actually, getting tenderloin steak, eggs, orange juice, coffee, jelly and toast for breakfast this morning. Continuing in our hold at 3 hours, 30 minutes and holding, this is Kennedy Launch Control.
-04:04:59|P|PAO|This is Apollo Saturn Launch Control; we're continuing in our planned hold at the 3 hour and 30 minutes at this time. The crew is finishing up their breakfast at this time. They had some guests for breakfast: Dr. Anthony England (an astronaut), Colonel Tom Stafford, and Donald K. Slayton. Prior to going to breakfast this morning, the crew had a short physical. Dr. John Teegan (and that's spelled Teegan) reported, "All three men were in real fine shape in this morning's exam. They're in top shape for the mission." At this time, up at the spacecraft level at Launch Complex 39A, the close-out crew is busily at work with Backup Pilot, Vance Brand in the spacecraft going through a varity of checks. He'll spend about 25 minutes in the spacecraft. Once he got into the craft, he turned on the Caution and Warning system, and then began to prepare the water system - this is the drinking water system aboard the spacecraft. He injected chlorine into the system, and operated the water gun. There are a variety of lights on the spacecraft panels which he is, at this time, turning off. He'll also be adjusting the oxygen - this is the breathing oxygen which the crew will use. Also, over some of the switches, above the couches are some safety locks so the switches can't be inadvertently turned on. He's taking off some of these safety switches, now and generally making the spacecraft ready for the arrival of the prime crew. Actually, prior to cryogenic loading, late yesterday astronaut, Brand accompanied by astronaut, Tony England went into the spacecraft and went through a spacecraft checklist of checking the various switches and circuit breakers. Our countdown in a hold - in a planned hold, at the T-minus 3 hours, 30 minute mark, this is Kennedy Launch Control.
-03:49:59|P|PAO|This is Apollo Saturn Launch Control; we're continuing to hold at the 3 hour and 30 minute mark as planned. We have approximately 20 more minutes remaining in this built-in hold. Stoney, which is the capsule communicator - which is the callsign for the capsule communicator here in the Launch Control Center has just checked in. This is astronaut, Paul White. Also checking in have been the spacecraft test conductor and the launch vehicle test conductor indicating that they're ready for the crew when the crew is ready to depart. Astronauts Haise, Lovell, and Swigert (in that order) entered the suit room just a few moments ago and began the suiting operation. If they stay on schedule, as they have been this morning, they'll be departing from the crew quarters at approximately 11:07am for the trip out to the pad. Countdown continuing to go well at this time as we remain in our hold at the T-minus 3 hours, 30 minutes and holding, this is Kennedy Launch Control.
-03:34:59|P|PAO|This is Apollo Saturn Launch Control; we're now about 5 minutes away from resuming our countdown at the T-minus 3 hour, 30-minute mark. At this time, the astronaut crew are in the suit room donning their spacesuits back at the Manned Spacecraft Operations building on Kennedy Space Center. The closeout crew at the pad rapidly preparing the spacecraft and the white room area to receive the crew. Cryogenic loading was completed before entering this built-in hold. We continue to top off these extremely cold liquid hydrogen and liquid oxygen at this time, and will continue to top off down to the final minutes of the countdown. Also going on at this time are some computer checks. These are check to ensure that the computers here on the ground are properly communicating with the computers aboard the space vehicle, and the proper reactions do take place to the signals being sent. Countdown going well at this time. We'll be standing by to resume the count in approximately 4 minutes from this time. T-minus 3 hours, 30 minutes and holding, this is Kennedy Launch Control.
-03:19:28|P|PAO|... - coming out to the pad at approximately 11:07am EST. It's about an 8 mile ride out to the pad from the crew quarters, and that's expected to take some 15 to 20 minutes. Our weather for a 2:13pm EST launch continues to be satisfactory. Although it looks quite sunny at the space center at this time, we do expect some clouds to move in and expect the cloud cover at approximately 25 - 2,500 to 5,000 feet. However, these cloud covers will not ... any type of deterent to our launch. The winds are expected to be approximately 12 knots from the southeast; temperature will be a warm 80 degrees; and no rain is expected at launch time. Our countdown continuing to move nicely at this time. T-minus 3 hours, 18 minutes, 35 seconds and counting, this is Kennedy Launch Control.
-03:07:48|P|PAO|This is Apollo Saturn Launch Control; T-minus 3 hours, 7 minutes, 46 seconds and counting. And at this time the crew has left the suit room and is now entering the transfer van. Apollo 13 Commander, Jim Lovell; Command Module Pilot, Jack Swigert; and Lunar Module Pilot, Fred Haise are now in the transfer van, and they'll start that 8 mile trip out to the launch pad. At the pad we just heard from astronaut, Vance Brand. He has completed all his functions inside the spacecraft and is now awaiting the arrival of the prime crew. The pad leader also reported back that he is ready - they're read in the the white room, and in the spacecraft to receive the crew. Now T-minus 3 hours, 7 minutes, 9 seconds and counting, this is Kennedy Launch Control.
-02:44:28|P|PAO|This is Apollo Saturn Launch Control; T-minus 2 hours, 44 minutes, 26 seconds and counting. Donald K. Slayton, now in the firing room has indicated that when he was with the crew this morning they were in good spirits and appeared to be completely ready for their flight. The crew in the white room - the close-out crew is now standing by waiting for the prime crew - the astronaut crew to arrive at the 320 foot level. Once they arrive - once the elevator arrives at that level, the two astronauts, Lovell and Haise will come across the swingarm. And they're coming across now. They arrived at the 320 foot level, and astronaut Lovell is the first one to come across. Lovell will be followed by Haise and one suit technitian, the other suit technician will remain in the elevator with the Command Module Pilot, Jack Swigert.
-02:43:39|P|PAO|The two men, now are entering the white room and they'll now prepare for the ingress. The first one to enter the spacecraft will be the spacecraft Commander, Jim Lovell. He'll move in to the center seat and over to the far lefthand seat. The second one to go in will be the Lunar Module Pilot, Fred Haise who will move into the center seat and then across into the right-hand seat. At that time the Command Module Pilot, Jack Swigert and a suit technician will come across from their standby position in the elevator, and Swigert will move into the center seat. The crew now preparing for the ingress at T-minus 2 hours and 43 minutes and counting, this is Kennedy Launch Control.
