-024044|AFJ||The transcript begins over two-and-a-half hours before launch. With the Apollo 11 spacecraft sitting atop its Saturn V launch vehicle on Pad 39A at the John F. Kennedy Space Center, announcements on the progress of the countdown are made by the Public Affairs Officer (PAO) Jack King, the 'Voice of Apollo'. The record of communications between the crew and the Mission Control Center, through 'CapCom' (the Capsule Communicator) commences soon after lift-off. This section of the journal will follow the flight through the launch and staging of the Saturn V launch vehicle, and insertion into Earth orbit about 12 minutes later. It concludes with the confirmation of orbital parameters and the safe check-out of the S-IVB third stage in orbit.
-023448|AFJ||Journal contributor Stephen Coester was a 28-year-old engineer who was working at a console (called C4HU) at the Launch Control Center. In a PDF file, <a href="pdf/stephen-coester-apollo11-lh2-leak.pdf">Launching Apollo 11 to the Moon</a>, he tells the story of this hydrogen leak.
-022352|AFJ||In fact, Fred Haise is the back-up Lunar Module Pilot. The other back-up crew members are Commander Jim Lovell and Command Module Pilot Bill Anders.
-022352|AFJ||When the crew arrived at the spacecraft they were already suited up and sealed off from Earth's natural atmosphere of nitrogen and oxygen. By the time they are ascending, they will have been breathing pure oxygen for about three hours and will have flushed dissolved nitrogen from their blood. This is to guard against the possible formation of nitrogen bubbles in their blood as the spacecraft air pressure drops to its nominal value of about a third of sea-level pressure, or in case of an unintended decompression of the spacecraft. Between the suiting-up room and the spacecraft, each crewman carried his own oxygen supply in a suitcase-sized unit.
-004600|AFJ||The lowest of the Saturn's main tanks was filled with 810,000 litres of RP-1 three weeks earlier. RP stands for 'rocket propellant' which in this case has been highly refined to minimise the fuel's sulphur content. The range of lengths of the molecule chains that make up the fuel was reduced to around 12 carbons to ensure more consistent and predictable combustion properties. The level in the tank was checked again at T-13 hours and again at T-1 hour.
-004600|AFJ||All three stages use liquid oxygen (LOX) as the oxidiser component in the burning process. It has been rendered liquid by being cooled to about -183&deg;C, just below its boiling point thereby allowing large quantities to be carried in huge tanks. At nine hours before launch, nitrogen gas is pumped through the tanks to purge out air and water vapour contaminants. Six and a half hours before launch, the tanks are precooled to prepare them for the loading of LOX. The S-IC requires 1.3 million litres, that for the S-II takes 331,000 litres and the S-IVB's LOX tank requires 77,000 litres.
-004600|AFJ||Filling these tanks with such cold liquids requires a little finesse. Initially, the LOX is fed at a slow rate which furiously boils as it contacts the relatively warm tank structure. The vapourisation of the LOX takes heat away until a pool of liquid begins to form at the bottom. When enough liquid has collected, filling steps up to a fast rate until the tanks are nearly full. The slow rate is then reestablished to top them off. From then on, until three minutes before launch, the level is replenished as the volatile LOX continues to boil off from heat leaking into the tank.
-004600|AFJ||The fuel for the S-II and S-IVB stages is liquid hydrogen (LH<sub>2</sub>). Like LOX, it must be cooled to render it liquid, this time to -253&deg;C which is only 20K above absolute zero. Conditioning the LH<sub>2</sub> tanks is more involved because all gases will freeze in the presence of liquid hydrogen except helium. Once clear of contaminants, the tanks are cooled to accept the propellants by first passing cold helium gas through the system then feeding propellant at a slow rate and allowing it to boil off, taking heat with it in a process similar to that for the LOX tanks. After filling at a fast rate, and to compensate for loss due to boil-off, both tanks are replenished until about three minutes before launch when the tanks are pressurised. Up to the launch, pressurising helium gas is supplied from the ground. After launch, the boil-off of the propellants is enough to maintain pressure. For the S-IVB, additional pressurising gas comes from a set of helium spheres mounted on the stage.
-004059|AFJ||Range safety is concerned with ensuring that if the rocket were to go wayward, it would do so without threatening injury or death to those on the ground. The Saturn's propellant tanks have shaped explosive charges attached. In the event the launch vehicle cannot be controlled, these would be detonated to open the tanks and ensure their contents are dispersed while at altitude. The charges for the fuel tanks are placed on the opposite side of the vehicle from those for the oxidiser tanks so as to minimise the degree to which the propellants would mix as they are dispersing.
-003555|AFJ||The next announcement comes from the PAO at Mission Control in Houston, rather than the Launch Control Center at Cape Kennedy, Florida.
-003059|AFJ||At the very top of the launch vehicle, between the S-IVB and the spacecraft, is a ring, only 1-metre-tall, called the IU (Instrument Unit). The ring's diameter matches the rocket stage below it. It carries systems primarily concerned with the guidance and control of the vehicle. These include a digital computer, an analogue flight computer and an gyroscopically stabilised platform mounted within three gimbals. This platform's ability to stabilise itself is such that without external influence it would stay in a constant orientation with respect to the stars even while Earth turns and it would therefore appear to slowly rotate, even though it is actually Earth that is rotating. This is an effect known as gyrocompassing. However, while the launch vehicle is sitting on the pad, the platform must not gyrocompass. Instead, its pitch or Y axis should be at right angles to the intended heading of the vehicle, a heading which depends on the precise time of launch.
-003059|AFJ||In Apollo 11's case, a 9:32 am launch requires that the Saturn's groundtrack away from the launch pad will be on a bearing of 72.058&deg;. Therefore, the platform is aligned so that the minus-Z axis lies along that heading (or azimuth) and a servo system holds it there, not allowing it to respond to Earth's rotation. This is achieved using a theodolite located 210 metres directly south of the vehicle which shines a beam of light through a window in the skin of the IU and another in the casing that surrounds the platform. The platform's orientation with respect to the theodolite will be maintained until just 17 seconds before launch. After that, it is released and will maintain its orientation with respect to the stars.
-003059|AFJ||When the Saturn V sits on the pad, its axes are aligned with the points of the compass. But in order to fly along the intended heading, it must carry out a roll manoeuvre as soon as it has cleared the tower. This will align the vehicle's coordinate system with that of the platform. From then on, simply by carrying out a pitch manoeuvre, the vehicle will begin its tilt towards the horizontal while flying along the desired heading.
-000031|AFJ||The phrase 'guidance is internal' refers to the moment at T minus 17 seconds that the Saturn V's guidance system is no longer held in an orientation with respect to Earth. It is now inertial and holds an orientation with respect to the stars. It has already been prealigned to a azimuth of 72.058&deg;, the rocket's intended heading. Soon after launch, the vehicle will roll around in order to match that orientation before commencing a preprogrammed pitch manoeuvre to send it heading for low Earth orbit. This moment is more formally called Guidance Reference Release or GRR. GRR begins a 16-second period that inhibits the first of the Saturn V's control timebases.
-000031|AFJ||The F-1 engine has a complex ignition sequence which will be described here. First, a description of the engine.
