-20:46:03|0|0||
000:00:00|0|0||
000:00:45|1500|1.2||
000:01:10||4.1||
000:02:07||17||
000:03:06||46||
000:04:00||63||
000:04:33|11000|75||
000:05:01||81||
000:07:23||96||
000:08:17|18000|||
000:14:57|25254|102.5
002:35:34|25254|102.5
002:36:00|27800|||
002:37:10|29100|||
002:37:29||115||
002:38:07|31200|125||
002:38:38|32000|130||
002:39:01|33000|142||
002:39:32|34000|152||
002:39:58|35000|||
002:41:38|35560|160||
002:54:33|31406|1183||
003:14:01|22900|5000||
003:47:38||10481||
005:41:24|12172|24916||
007:46:02|9878|37630||
008:40:26|9210|42464||
008:54:26|9069|43653||
010:37:27|8250|52141||
011:00:23|8093|53925||
012:05:44|7690|58828||
013:08:30|7358|63312||
013:58:07|7123|66738||
014:33:05|6923|68941|||
015:33:02|6731|73035||
016:23:36|6551|76311||
017:23:02|6350|79919||
018:22:01|6157|83396||
020:22:33|5843|90380||
021:21:00|5699|93640||
021:55:20|5620|95511||
023:12:06|5453|99589||
024:05:15|5345|102342||
025:31:50|5179|106747||
027:20:02|4991|||
030:04:57|4734|119751||
032:03:42|4571|125083||
032:46:58|4500|126900||
195:18:18|0|0||
