-35:17:28|-35:06:46|
-04:20:00|-04:18:56|
-04:05:00|-04:04:45|
-00:32:37|000:08:07|
000:08:36|000:09:23|
000:09:34|000:10:03|
000:10:16|000:10:29|
000:10:54|000:11:01|
000:11:08|000:12:10|
000:13:55|000:14:09|
000:14:56|000:15:07|
000:16:54|000:17:33|
000:24:25|000:25:01|
000:25:34|000:25:45|
000:26:15|000:26:23|
000:30:25|000:31:17|
000:31:32|000:31:38|
000:32:04|000:32:10|
000:33:24|000:33:29|
000:33:36|000:33:54|
000:34:58|000:35:17|
001:15:13|001:15:27|
001:18:46|001:19:24|
001:28:02|001:29:03|
001:29:10|001:29:23|
001:29:30|001:30:13|
001:31:20|001:31:58|
001:32:35|001:33:54|
001:37:11|001:38:05|
001:39:03|001:39:07|
001:39:24|001:39:41|
001:39:49|001:42:48|
001:42:57|001:43:09|
001:43:11|001:43:25|
001:43:40|001:44:14|
001:47:59|001:48:12|
001:48:17|001:49:23|
001:50:10|001:50:37|
001:56:42|001:57:44|
002:27:48|001:27:53|
002:27:04|002:27:20|
002:29:45|002:30:10|
002:31:31|002:31:44|
002:31:56|002:32:08|
002:32:31|002:32:39|
002:32:12|002:34:17|
002:35:37|002:36:06|
003:09:28|003:20:07|
003:20:29|004:01:52|
004:02:58|004:05:13|
004:10:39|004:12:18|
004:12:32|004:15:49|
004:17:26|004:21:08|
004:08:15|004:19:04|
030:34:31|031:03:14|
032:37:00|032:41:06|
045:08:06|045:10:57|
045:15:05|045:17:42|
049:00:44|049:01:54|
049:02:11|049:02:26|
049:03:11|049:03:32|
049:03:39|049:04:36|
049:06:04|049:06:09|
049:11:12|049:12:00|
049:12:02|049:12:16|
049:12:30|049:12:38|
049:12:58|049:13:08|
049:16:38|049:18:00|
049:18:21|049:18:59|
054:32:42|054:34:00|
054:34:09|054:34:27|
054:34:32|054:34:57|
054:36:33|054:37:22|
054:41:28|054:42:06|
054:42:39|054:43:55|
055:13:32|055:13:41|
055:14:22|055:46:28|
055:52:00|057:45:00|graph
057:45:00|057:45:40|
057:45:40|057:45:48|graph
057:45:48|057:46:00|
057:46:00|057:47:18|graph
057:47:18|057:47:29
057:47:29|057:48:44|graph
057:48:44|057:49:08|
057:49:08|057:49:22|graph
057:49:22|057:49:48|
057:49:48|057:49:59|graph
057:49:59|057:50:20|
057:50:10|057:50:58|graph
057:50:58|057:51:11|
057:51:11|057:51:33|graph
057:51:33|057:51:48|
057:51:48|057:52:08|graph
057:52:08|057:52:24|
057:52:24|057:52:39|graph
057:52:39|057:52:52|
057:52:52|057:53:22|graph
057:53:22|057:53:51|
057:53:51|057:53:53|graph
057:53:53|057:54:35|
057:54:35|057:54:39|graph
057:54:39|057:54:53|
057:54:53|057:55:03|graph
057:55:03|057:55:16|
057:55:16|057:55:18|graph
057:55:18|057:55:42|
057:55:42|057:55:47|graph
057:55:47|057:55:56|
057:55:56|057:57:08|graph
057:57:08|057:57:25|
057:57:25|057:57:32|graph
057:57:32|057:57:54|
057:57:54|057:58:50|graph
057:58:50|057:59:20|
057:59:20|057:59:29|graph
057:59:29|057:59:34|
057:59:34|057:59:43|graph
057:59:43|058:00:08|
058:00:08|058:00:10|graph
058:00:10|058:01:37|
058:01:37|058:03:17|graph
058:03:17|058:03:31|
058:03:31|058:03:38|graph
058:03:38|058:04:20|
058:04:20|058:05:17|graph
058:05:17|058:05:33|
058:05:33|058:05:45|graph
058:05:45|058:06:18|
058:06:18|058:06:25|graph
058:06:25|058:07:31|
058:07:31|058:07:38|graph
058:07:38|058:09:07|
058:09:07|058:09:18|graph
058:09:18|058:09:55|
058:09:55|058:10:06|graph
058:10:06|058:11:22|
058:11:22|058:11:34|graph
058:11:34|058:11:43|
058:11:43|058:11:50|graph
058:11:50|058:12:06|
058:12:06|058:12:10|graph
058:12:10|058:12:30|
058:12:30|058:12:56|graph
058:12:56|058:13:17|
058:13:17|058:13:30|graph
058:13:30|058:13:55|
058:13:55|058:14:18|graph
058:14:18|058:14:31|
058:14:31|058:15:21|graph
058:15:21|058:15:35|
058:15:35|058:16:10|graph
058:16:10|058:18:19|
058:18:19|058:18:54|graph
058:18:54|058:20:14|
058:20:14|058:20:22|graph
058:20:22|058:21:48|
058:21:48|058:23:58|graph
058:23:58|058:24:22|
058:24:22|058:25:20|graph
058:25:20|058:25:38|
058:25:38|058:26:08|graph
058:26:08|058:26:32|
058:26:32|058:28:02|graph
058:28:02|058:28:19|
058:28:19|058:28:35|graph
058:28:35|058:28:44|
058:28:44|058:28:59|graph
058:28:59|058:29:18|
058:29:18|058:29:29|graph
058:29:29|058:29:51|
058:29:51|058:29:58|graph
058:29:58|058:30:11|
058:30:11|058:30:29|graph
058:30:32|058:32:31|
058:34:31|058:34:34|
058:34:40|058:34:51|
058:35:02|058:35:29|
058:36:16|058:36:44|
058:59:25|059:41:21|
061:29:18|061:30:29|
072:25:59|072:26:09|
072:32:51|072:33:03|
072:33:20|072:34:28|
072:35:34|072:35:58|
072:36:06|072:36:21|
072:36:35|072:37:17|
072:40:00|072:41:38|
072:46:14|072:36:25|
072:46:33|072:47:59|
075:02:35|077:06:17|3D
077:06:17|077:06:20|
077:06:20|077:06:21|3D
077:06:21|077:06:38|
077:06:38|077:08:01|3D
077:08:01|077:08:21|
077:08:21|077:28:05|3D
077:28:05|077:28:21|
077:28:21|077:28:26|3D
077:28:26|077:28:37|
077:28:37|077:28:42|3D
077:28:42|077:28:59|
077:28:59|077:29:04|3D
077:29:04|077:29:21|
077:29:21|077:29:26|3D
077:29:26|077:29:42|
077:29:42|077:34:48|3D
077:34:48|077:34:58|
077:34:58|077:35:04|3D
077:35:04|077:35:26|
077:35:26|078:02:20|3D
078:02:20|078:02:43|
078:02:43|078:03:14|3D
078:03:14|078:03:41|
078:03:41|078:04:45|3D
078:05:35|078:05:49|
078:05:49|078:13:55|3D
078:13:55|078:14:12|
078:14:12|078:17:36|3D
078:17:36|078:17:48|
078:17:48|078:18:03|3D
078:18:03|078:18:14|
078:18:14|078:18:16|3D
078:18:16|078:18:28|
078:18:28|078:19:57|3D
078:19:57|078:20:24|
078:20:24|078:22:32|3D
078:22:32|078:22:50|
078:22:50|078:22:53|3D
078:22:53|078:23:10|
078:23:10|078:24:15|3D
078:24:15|078:24:38|
078:24:38|078:25:12|3D
078:25:12|078:25:30|
078:25:30|078:25:38|3D
078:25:38|078:25:49|
078:25:49|078:26:02|3D
078:26:02|078:26:14|
078:26:14|078:27:28|3D
078:27:28|078:27:48|
078:27:48|078:28:01|3D
078:28:01|078:28:14|
078:28:14|078:29:47|3D
078:29:47|078:30:03|
078:30:03|078:30:18|3D
078:30:18|078:30:31|
078:30:31|078:30:42|3D
078:30:42|078:30:51|
078:30:51|078:31:01|3D
078:31:01|078:31:15|
078:31:15|078:35:35|3D
078:35:35|078:35:48|
078:35:48|078:35:52|3D
078:35:52|078:36:06|
078:36:06|078:37:16|3D
078:37:16|078:37:26|
078:37:26|078:41:07|3D
078:41:07|078:41:24|
078:41:24|078:41:38|3D
078:41:38|078:41:50|
078:41:50|078:44:12|3D
078:44:12|078:44:18|
078:44:18|078:45:11|3D
078:45:11|078:45:21|
078:45:21|078:45:49|3D
078:45:49|078:46:03|
078:46:03|078:46:07|3D
078:46:07|078:46:13|
078:46:13|079:01:17|3D
079:01:17|079:01:28|
